year	Team	Position	Highest_Scorer	FantasyPoints
2010	ARI	RB	Tim Hightower	109.2
2010	ARI	TE	Ben Patrick	12.3
2010	ARI	WR	Larry Fitzgerald	149.7
2010	ATL	RB	Michael Turner	213.6
2010	ATL	TE	Tony Gonzalez	101.6
2010	ATL	WR	Roddy White	196.9
2010	BAL	RB	Ray Rice	213.6
2010	BAL	TE	Todd Heap	89.9
2010	BAL	WR	Anquan Boldin	123.7
2010	BUF	RB	Fred Jackson	152.2
2010	BUF	TE	Jonathan Stupar	11.1
2010	BUF	WR	Stevie Johnson	165.3
2010	CAR	RB	Jonathan Stewart	97.3
2010	CAR	TE	Dante Rosario	26.2
2010	CAR	WR	David Gettis	68.8
2010	CHI	RB	Matt Forte	211.6
2010	CHI	TE	Greg Olsen	68.4
2010	CHI	WR	Johnny Knox	124
2010	CIN	RB	Cedric Benson	166.9
2010	CIN	TE	Jermaine Gresham	69.1
2010	CIN	WR	Terrell Owens	152.3
2010	CLE	RB	Peyton Hillis	233.4
2010	CLE	TE	Benjamin Watson	94.2
2010	CLE	WR	Mohamed Massaquoi	58.3
2010	DAL	RB	Felix Jones	135
2010	DAL	TE	Jason Witten	152.2
2010	DAL	WR	Miles Austin	144.1
2010	DEN	RB	Knowshon Moreno	159.1
2010	DEN	TE	Daniel Graham	14.8
2010	DEN	WR	Brandon Lloyd	210.8
2010	DET	RB	Jahvid Best	138.2
2010	DET	TE	Brandon Pettigrew	96.2
2010	DET	WR	Calvin Johnson	184
2010	GNB	RB	Brandon Jackson	128.5
2010	GNB	TE	Jermichael Finley	36.1
2010	GNB	WR	Greg Jennings	198.5
2010	HOU	RB	Arian Foster	326
2010	HOU	TE	Joel Dreessen	73.8
2010	HOU	WR	Andre Johnson	169.6
2010	IND	RB	Joseph Addai	83.9
2010	IND	TE	Jacob Tamme	87.1
2010	IND	WR	Reggie Wayne	169.5
2010	JAC	RB	Maurice Jones-Drew	202.1
2010	JAC	TE	Marcedes Lewis	126
2010	JAC	WR	Mike Thomas	106
2010	KAN	RB	Jamaal Charles	237.5
2010	KAN	TE	Tony Moeaki	73.6
2010	KAN	WR	Dwayne Bowe	206.2
2010	MIA	RB	Ronnie Brown	123.6
2010	MIA	TE	Anthony Fasano	76.8
2010	MIA	WR	Brandon Marshall	117.4
2010	MIN	RB	Adrian Peterson	239.9
2010	MIN	TE	Visanthe Shiancoe	65
2010	MIN	WR	Percy Harvin	116.8
2010	NOR	RB	Chris Ivory	99.3
2010	NOR	TE	Jimmy Graham	65.9
2010	NOR	WR	Marques Colston	144.3
2010	NWE	RB	BenJarvus Green-Ellis	187.3
2010	NWE	TE	Rob Gronkowski	112.6
2010	NWE	WR	Wes Welker	126.8
2010	NYG	RB	Ahmad Bradshaw	190.9
2010	NYG	TE	Kevin Boss	81.1
2010	NYG	WR	Hakeem Nicks	171.2
2010	NYJ	RB	LaDainian Tomlinson	164.2
2010	NYJ	TE	Dustin Keller	98.7
2010	NYJ	WR	Braylon Edwards	130.4
2010	OAK	RB	Darren McFadden	220.4
2010	OAK	TE	Zach Miller	98.5
2010	OAK	WR	Louis Murphy	70.9
2010	PHI	RB	LeSean McCoy	219.2
2010	PHI	TE	Brent Celek	75.1
2010	PHI	WR	Jeremy Maclin	154.4
2010	PIT	RB	Rashard Mendenhall	218
2010	PIT	TE	Heath Miller	61.2
2010	PIT	WR	Mike Wallace	185.7
2010	SDG	RB	Mike Tolbert	155.1
2010	SDG	TE	Antonio Gates	138.2
2010	SDG	WR	Malcom Floyd	107.7
2010	SEA	RB	Justin Forsett	89.5
2010	SEA	TE	John Carlson	37.8
2010	SEA	WR	Mike Williams	87.1
2010	SFO	RB	Frank Gore	156.5
2010	SFO	TE	Vernon Davis	133.4
2010	SFO	WR	Michael Crabtree	110.1
2010	STL	RB	Steven Jackson	196.4
2010	STL	TE	Daniel Fells	51.1
2010	STL	WR	Danny Amendola	84.9
2010	TAM	RB	LeGarrette Blount	132.1
2010	TAM	TE	Kellen Winslow	103
2010	TAM	WR	Mike Williams	158.4
2010	TEN	RB	Chris Johnson	228.9
2010	TEN	TE	Bo Scaife	53.8
2010	TEN	WR	Kenny Britt	129.5
2010	WAS	RB	Ryan Torain	120.7
2010	WAS	TE	Chris Cooley	100.9
2010	WAS	WR	Santana Moss	143.5
2011	ARI	RB	Beanie Wells	165.9
2011	ARI	TE	Jeff King	45.1
2011	ARI	WR	Larry Fitzgerald	189.1
2011	ATL	RB	Michael Turner	212.8
2011	ATL	TE	Tony Gonzalez	129.5
2011	ATL	WR	Roddy White	177.6
2011	BAL	RB	Ray Rice	292.8
2011	BAL	TE	Ed Dickson	82.8
2011	BAL	WR	Torrey Smith	126.1
2011	BUF	RB	Fred Jackson	169.6
2011	BUF	TE	Scott Chandler	72.9
2011	BUF	WR	Stevie Johnson	142.4
2011	CAR	RB	Jonathan Stewart	147.4
2011	CAR	TE	Greg Olsen	82
2011	CAR	WR	Steve Smith	177.4
2011	CHI	RB	Matt Forte	168.7
2011	CHI	TE	Kellen Davis	50.6
2011	CHI	WR	Johnny Knox	82.7
2011	CIN	RB	Cedric Benson	146.9
2011	CIN	TE	Jermaine Gresham	93.6
2011	CIN	WR	A.J. Green	147.7
2011	CLE	RB	Peyton Hillis	87.7
2011	CLE	TE	Evan Moore	56.4
2011	CLE	WR	Greg Little	82.9
2011	DAL	RB	DeMarco Murray	120
2011	DAL	TE	Jason Witten	124.2
2011	DAL	WR	Laurent Robinson	151.8
2011	DEN	RB	Willis McGahee	149
2011	DEN	TE	Daniel Fells	41.6
2011	DEN	WR	Brandon Lloyd	126.6
2011	DET	RB	Kevin Smith	93.5
2011	DET	TE	Brandon Pettigrew	107.7
2011	DET	WR	Calvin Johnson	262.1
2011	GNB	RB	Ryan Grant	98.7
2011	GNB	TE	Jermichael Finley	124.7
2011	GNB	WR	Jordy Nelson	216.3
2011	HOU	RB	Arian Foster	250.1
2011	HOU	TE	Owen Daniels	85.7
2011	HOU	WR	Kevin Walter	65.4
2011	IND	RB	Donald Brown	103.1
2011	IND	TE	Dallas Clark	45.2
2011	IND	WR	Pierre Garcon	126.7
2011	JAC	RB	Maurice Jones-Drew	262
2011	JAC	TE	Marcedes Lewis	46
2011	JAC	WR	Jason Hill	54.7
2011	KAN	RB	Dexter McCluster	92.4
2011	KAN	TE	Leonard Pope	30.7
2011	KAN	WR	Dwayne Bowe	145.9
2011	MIA	RB	Reggie Bush	176.2
2011	MIA	TE	Anthony Fasano	75.1
2011	MIA	WR	Brandon Marshall	155.4
2011	MIN	RB	Adrian Peterson	188.9
2011	MIN	TE	Visanthe Shiancoe	58.9
2011	MIN	WR	Percy Harvin	128.7
2011	NOR	RB	Darren Sproles	185.3
2011	NOR	TE	Jimmy Graham	195
2011	NOR	WR	Marques Colston	160.3
2011	NWE	RB	BenJarvus Green-Ellis	148.6
2011	NWE	TE	Rob Gronkowski	240.9
2011	NWE	WR	Wes Welker	210.9
2011	NYG	RB	Ahmad Bradshaw	156.6
2011	NYG	TE	Jake Ballard	84.4
2011	NYG	WR	Victor Cruz	205.6
2011	NYJ	RB	Shonn Greene	162.5
2011	NYJ	TE	Dustin Keller	109.5
2011	NYJ	WR	Santonio Holmes	111.4
2011	OAK	RB	Michael Bush	185.5
2011	OAK	TE	Kevin Boss	54.8
2011	OAK	WR	Darrius Heyward-Bey	119.5
2011	PHI	RB	LeSean McCoy	280.4
2011	PHI	TE	Brent Celek	111.1
2011	PHI	WR	DeSean Jackson	120.1
2011	PIT	RB	Rashard Mendenhall	160.2
2011	PIT	TE	Heath Miller	73.7
2011	PIT	WR	Mike Wallace	165.3
2011	SDG	RB	Ryan Mathews	186.6
2011	SDG	TE	Antonio Gates	119.8
2011	SDG	WR	Vincent Jackson	164.6
2011	SEA	RB	Marshawn Lynch	215.6
2011	SEA	TE	Zach Miller	23.3
2011	SEA	WR	Doug Baldwin	102.8
